0,536,23,94,0.001789,-1
99,387,62,295,0.001537,-1
0,395,45,150,0.005941,-1
608,87,29,209,0.023855,-1
797,332,226,350,0.000010,-1
836,569,30,41,0.000101,-1
210,352,69,84,0.008915,-1
230,352,49,44,0.006744,-1
731,71,68,136,0.017665,-1
411,110,273,291,0.000480,-1
425,607,142,75,0.000079,-1
618,573,103,63,0.000005,-1
619,600,102,36,0.000109,-1
340,446,48,111,0.011060,-1
606,332,417,350,0.000024,-1
0,657,101,25,0.000008,-1
985,26,38,400,0.000085,-1
484,416,55,96,0.000077,-1
951,375,50,69,0.004710,-1
814,25,209,494,0.000198,-1
798,525,109,157,0.000270,-1
469,110,112,176,0.001911,-1
210,352,60,84,0.007602,-1
427,332,596,350,0.000043,-1
840,631,115,51,0.000945,-1
840,632,67,50,0.000681,-1
721,629,55,53,0.000077,-1
411,263,273,138,0.002220,-1
467,399,83,113,0.000984,-1
797,541,45,141,0.000150,-1
840,632,154,50,0.001266,-1
619,600,157,82,0.000004,-1
798,613,157,69,0.000485,-1
721,605,55,77,0.000101,-1
721,579,55,103,0.000266,-1
443,368,45,46,0.037317,-1
564,521,328,161,0.000878,-1
618,573,102,32,0.000014,-1
814,25,199,494,0.000165,-1
574,530,147,106,0.000098,-1
326,399,224,83,0.001525,-1
0,0,321,416,0.000057,-1
326,377,295,236,0.000160,-1
574,522,266,160,0.000195,-1
359,399,191,83,0.000188,-1
825,494,98,46,0.022403,-1
269,446,173,220,0.008000,-1
585,557,191,125,0.000048,-1
618,573,103,63,0.000005,-1
767,538,31,144,0.000109,-1
798,613,76,69,0.002471,-1
808,560,29,74,0.000115,-1
797,525,95,157,0.000944,-1
411,4,393,526,0.002784,-1
797,541,39,90,0.000100,-1
564,537,276,145,0.000306,-1
210,352,103,88,0.004052,-1
619,587,102,49,0.000030,-1
564,530,167,152,0.000208,-1
619,600,124,82,0.000005,-1
721,565,49,104,0.000163,-1
798,613,109,69,0.001019,-1
427,411,480,271,0.000057,-1
798,626,109,56,0.000532,-1
798,613,94,69,0.000300,-1
210,352,60,85,0.005880,-1
427,25,596,657,0.000129,-1
574,494,449,188,0.000099,-1
554,4,139,378,0.002768,-1
619,575,157,107,0.000012,-1
814,25,209,657,0.000681,-1
647,538,73,67,0.000018,-1
873,332,150,350,0.000006,-1
478,416,61,96,0.000085,-1
