0,536,23,94,0.000638,-1
99,387,62,295,0.000137,-1
0,395,45,150,0.001163,-1
608,87,29,209,0.001841,-1
797,332,226,350,0.001255,-1
836,569,30,41,0.000256,-1
210,352,69,84,0.000162,-1
230,352,49,44,0.000149,-1
731,71,68,136,0.001045,-1
411,110,273,291,0.005593,-1
425,607,142,75,0.003174,-1
618,573,103,63,0.000021,-1
619,600,102,36,0.000057,-1
340,446,48,111,0.028614,-1
606,332,417,350,0.000274,-1
0,657,101,25,0.000017,-1
985,26,38,400,0.001905,-1
484,416,55,96,0.000185,-1
951,375,50,69,0.107736,-1
814,25,209,494,0.001086,-1
798,525,109,157,0.000156,-1
469,110,112,176,0.002465,-1
210,352,60,84,0.000072,-1
427,332,596,350,0.000224,-1
840,631,115,51,0.004322,-1
840,632,67,50,0.001832,-1
721,629,55,53,0.001101,-1
411,263,273,138,0.002072,-1
467,399,83,113,0.000122,-1
797,541,45,141,0.003185,-1
840,632,154,50,0.000420,-1
619,600,157,82,0.000028,-1
798,613,157,69,0.001427,-1
721,605,55,77,0.000707,-1
721,579,55,103,0.002790,-1
443,368,45,46,0.000572,-1
564,521,328,161,0.000543,-1
618,573,102,32,0.000022,-1
814,25,199,494,0.000810,-1
574,530,147,106,0.000034,-1
326,399,224,83,0.000671,-1
0,0,321,416,0.000185,-1
326,377,295,236,0.000145,-1
574,522,266,160,0.000578,-1
359,399,191,83,0.000102,-1
825,494,98,46,0.001411,-1
269,446,173,220,0.053452,-1
585,557,191,125,0.000064,-1
618,573,103,63,0.000021,-1
767,538,31,144,0.000473,-1
798,613,76,69,0.000814,-1
808,560,29,74,0.035660,-1
797,525,95,157,0.000529,-1
411,4,393,526,0.000559,-1
797,541,39,90,0.007955,-1
564,537,276,145,0.000372,-1
210,352,103,88,0.001829,-1
619,587,102,49,0.000057,-1
564,530,167,152,0.000265,-1
619,600,124,82,0.000104,-1
721,565,49,104,0.001485,-1
798,613,109,69,0.002193,-1
427,411,480,271,0.000277,-1
798,626,109,56,0.000786,-1
798,613,94,69,0.001284,-1
210,352,60,85,0.000091,-1
427,25,596,657,0.000223,-1
574,494,449,188,0.000549,-1
554,4,139,378,0.000751,-1
619,575,157,107,0.000176,-1
814,25,209,657,0.001374,-1
647,538,73,67,0.000626,-1
873,332,150,350,0.000766,-1
478,416,61,96,0.000318,-1
825,494,149,46,0.000142,-1
643,605,133,77,0.000043,-1
619,587,102,88,0.000154,-1
618,573,103,102,0.000163,-1
606,494,317,188,0.000307,-1
269,388,281,94,0.000692,-1
798,601,109,81,0.001240,-1
797,541,110,141,0.000665,-1
721,605,47,64,0.000320,-1
721,521,186,161,0.001886,-1
210,352,120,105,0.001452,-1
298,400,222,82,0.000406,-1
298,388,222,94,0.001181,-1
376,399,464,283,0.000151,-1
618,538,180,144,0.000205,-1
687,538,111,144,0.001778,-1
643,610,77,65,0.000279,-1
808,540,58,94,0.005523,-1
519,186,55,85,0.000511,-1
574,523,224,159,0.000189,-1
587,600,189,82,0.000008,-1
797,521,45,161,0.004438,-1
816,332,207,350,0.001510,-1
871,517,103,23,0.000042,-1
720,575,48,94,0.000417,-1
574,530,46,88,0.010826,-1
721,538,77,144,0.005547,-1
279,388,51,68,0.000245,-1
548,374,131,55,0.000152,-1
574,25,449,657,0.000281,-1
618,538,103,98,0.000135,-1
376,400,144,82,0.000032,-1
298,377,252,105,0.000802,-1
