237 0.077732 601.9 374.6 653.3 447.6
521 0.285902 399.1 471.7 437.1 514.7
529 0.056184 27.8 596.3 80.8 663.9
655 0.070822 31.4 568.5 88.0 618.2
1047 0.125435 854.0 455.5 897.0 529.3
1220 0.067634 306.1 260.4 352.7 332.4
1283 0.061964 571.3 520.4 628.4 605.9
1782 0.061709 564.7 353.1 641.2 418.8
2065 0.215402 339.7 52.9 393.6 105.4
2067 0.070352 222.6 145.2 330.7 277.2
2223 0.273654 299.4 484.4 356.6 527.3
2805 0.065070 379.4 431.0 429.8 466.2
3531 0.055729 4.0 375.5 69.6 466.1
3649 0.145407 400.7 278.8 459.6 359.5
